,CPU,%idle,iteration,tool,Time,file,RealTime
336,all,96.58,16,od2,00:21:02,0,0
1260,all,92.32,60,od2,00:21:12,1,10
1134,all,93.45,54,od2,00:21:22,2,20
1092,all,93.18,52,od2,00:21:32,3,30
609,all,93.05,29,od2,00:21:42,4,40
105,all,92.76,5,od2,00:21:52,5,50
588,all,97.51,28,od2,00:22:02,6,60
714,all,96.68,34,od2,00:22:12,7,70
1239,all,97.19,59,od2,00:22:22,8,80
42,all,98.44,2,od2,00:22:32,9,90
567,all,96.38,27,od2,00:22:42,10,100
546,all,95.21,26,od2,00:22:52,11,110
1071,all,70.39,51,od2,00:23:02,12,120
924,all,97.44,44,od2,00:23:12,13,130
63,all,90.3,3,od2,00:23:22,14,140
777,all,95.44,37,od2,00:23:32,15,150
147,all,98.29,7,od2,00:23:42,16,160
210,all,91.8,10,od2,00:23:52,17,170
735,all,98.3,35,od2,00:24:02,18,180
756,all,98.85,36,od2,00:24:12,19,190
273,all,96.48,13,od2,00:24:22,20,200
987,all,95.84,47,od2,00:24:32,21,210
483,all,97.75,23,od2,00:24:43,22,220
630,all,93.97,30,od2,00:24:53,23,230
945,all,90.34,45,od2,00:25:03,24,240
903,all,94.75,43,od2,00:25:13,25,250
819,all,97.25,39,od2,00:25:23,26,260
1197,all,91.42,57,od2,00:25:33,27,270
252,all,96.39,12,od2,00:25:43,28,280
504,all,98.25,24,od2,00:25:53,29,290
441,all,98.29,21,od2,00:26:03,30,300
84,all,94.97,4,od2,00:26:13,31,310
651,all,98.19,31,od2,00:26:23,32,320
21,all,97.89,1,od2,00:26:33,33,330
1176,all,98.59,56,od2,00:26:43,34,340
420,all,98.9,20,od2,00:26:53,35,350
1113,all,98.8,53,od2,00:27:03,36,360
1218,all,99.0,58,od2,00:27:13,37,370
1050,all,99.3,50,od2,00:27:23,38,380
1029,all,99.55,49,od2,00:27:33,39,390
798,all,98.39,38,od2,00:27:43,40,400
357,all,99.15,17,od2,00:27:53,41,410
168,all,99.4,8,od2,00:28:03,42,420
693,all,99.4,33,od2,00:28:13,43,430
399,all,99.45,19,od2,00:28:23,44,440
672,all,99.1,32,od2,00:28:33,45,450
231,all,99.15,11,od2,00:28:43,46,460
840,all,99.45,40,od2,00:28:53,47,470
525,all,99.15,25,od2,00:29:03,48,480
1155,all,99.5,55,od2,00:29:13,49,490
294,all,99.1,14,od2,00:29:23,50,500
315,all,99.4,15,od2,00:29:33,51,510
882,all,99.3,42,od2,00:29:43,52,520
0,all,99.15,0,od2,00:29:53,53,530
378,all,99.55,18,od2,00:30:03,54,540
189,all,97.15,9,od2,00:30:13,55,550
861,all,99.4,41,od2,00:30:23,56,560
126,all,99.25,6,od2,00:30:33,57,570
966,all,94.25,46,od2,00:30:43,58,580
1008,all,99.2,48,od2,00:30:53,59,590
462,all,99.35,22,od2,00:31:03,60,600
