,size,file,tool,RealTime
11,112,0,duaiterate,0
48,64204,1,duaiterate,10
43,172204,2,duaiterate,20
41,281276,3,duaiterate,30
22,393992,4,duaiterate,40
4,506296,5,duaiterate,50
21,621820,6,duaiterate,60
27,736300,7,duaiterate,70
47,846860,8,duaiterate,80
1,962444,9,duaiterate,90
20,1075676,10,duaiterate,100
19,1190384,11,duaiterate,110
40,1299224,12,duaiterate,120
35,1411464,13,duaiterate,130
2,1524660,14,duaiterate,140
30,1636268,15,duaiterate,150
5,1744840,16,duaiterate,160
7,1827204,17,duaiterate,170
28,1927848,18,duaiterate,180
29,2027776,19,duaiterate,190
10,2128336,20,duaiterate,200
37,2214688,21,duaiterate,210
16,2315320,22,duaiterate,220
23,2416240,23,duaiterate,230
36,2516456,24,duaiterate,240
34,3291904,25,duaiterate,250
32,3330944,26,duaiterate,260
45,3418376,27,duaiterate,270
9,3505532,28,duaiterate,280
17,3546092,29,duaiterate,290
15,3579372,30,duaiterate,300
3,3624840,31,duaiterate,310
24,3643168,32,duaiterate,320
0,3643180,33,duaiterate,330
44,3643192,34,duaiterate,340
14,3643948,35,duaiterate,350
42,3643960,36,duaiterate,360
46,3643972,37,duaiterate,370
39,3643984,38,duaiterate,380
38,3643988,39,duaiterate,390
31,3644000,40,duaiterate,400
12,3644012,41,duaiterate,410
6,3644024,42,duaiterate,420
26,3644036,43,duaiterate,430
13,3644048,44,duaiterate,440
25,3644060,45,duaiterate,450
8,3644072,46,duaiterate,460
33,3644084,47,duaiterate,470
18,3644096,48,duaiterate,480
