,size,file,tool,RealTime
16,104,0,od2,0
60,103468,1,od2,10
54,223432,2,od2,20
52,338108,3,od2,30
29,449112,4,od2,40
5,564708,5,od2,50
28,689656,6,od2,60
34,689672,7,od2,70
59,689684,8,od2,80
2,689688,9,od2,90
27,689700,10,od2,100
26,689712,11,od2,110
51,689724,12,od2,120
44,689736,13,od2,130
3,689748,14,od2,140
37,689852,15,od2,150
7,689864,16,od2,160
10,689876,17,od2,170
35,689888,18,od2,180
36,689892,19,od2,190
13,689904,20,od2,200
47,689916,21,od2,210
23,689928,22,od2,220
30,689940,23,od2,230
45,689952,24,od2,240
43,689964,25,od2,250
39,689976,26,od2,260
57,689988,27,od2,270
12,690000,28,od2,280
24,690004,29,od2,290
21,690016,30,od2,300
4,690028,31,od2,310
31,690040,32,od2,320
1,690052,33,od2,330
56,690064,34,od2,340
20,690076,35,od2,350
53,690088,36,od2,360
58,690100,37,od2,370
50,690112,38,od2,380
49,690116,39,od2,390
38,690128,40,od2,400
17,690140,41,od2,410
8,690152,42,od2,420
33,690164,43,od2,430
19,690176,44,od2,440
32,690188,45,od2,450
11,690200,46,od2,460
40,690212,47,od2,470
25,690224,48,od2,480
55,690228,49,od2,490
14,690240,50,od2,500
15,690252,51,od2,510
42,690264,52,od2,520
0,690276,53,od2,530
18,690288,54,od2,540
9,690300,55,od2,550
41,690312,56,od2,560
6,690324,57,od2,570
46,690336,58,od2,580
48,690340,59,od2,590
22,690352,60,od2,600
