,%commit,iteration,tool,Time,file,RealTime
16,17.63,16,od2,00:21:02,0,0
60,17.87,60,od2,00:21:12,1,10
54,17.87,54,od2,00:21:22,2,20
52,17.85,52,od2,00:21:32,3,30
29,17.85,29,od2,00:21:42,4,40
5,17.85,5,od2,00:21:52,5,50
28,17.76,28,od2,00:22:02,6,60
34,17.76,34,od2,00:22:12,7,70
59,17.76,59,od2,00:22:22,8,80
2,17.67,2,od2,00:22:32,9,90
27,17.67,27,od2,00:22:42,10,100
26,17.67,26,od2,00:22:52,11,110
51,17.66,51,od2,00:23:02,12,120
44,17.64,44,od2,00:23:12,13,130
3,17.66,3,od2,00:23:22,14,140
37,17.59,37,od2,00:23:32,15,150
7,17.56,7,od2,00:23:42,16,160
10,17.58,10,od2,00:23:52,17,170
35,17.56,35,od2,00:24:02,18,180
36,17.56,36,od2,00:24:12,19,190
13,17.56,13,od2,00:24:22,20,200
47,17.57,47,od2,00:24:32,21,210
23,17.52,23,od2,00:24:42,22,220
30,17.52,30,od2,00:24:53,23,230
45,17.49,45,od2,00:25:03,24,240
43,17.53,43,od2,00:25:13,25,250
39,17.53,39,od2,00:25:23,26,260
57,17.54,57,od2,00:25:33,27,270
12,17.54,12,od2,00:25:43,28,280
24,17.54,24,od2,00:25:53,29,290
21,17.54,21,od2,00:26:03,30,300
4,16.31,4,od2,00:26:13,31,310
31,16.3,31,od2,00:26:23,32,320
1,16.3,1,od2,00:26:33,33,330
56,16.31,56,od2,00:26:43,34,340
20,16.31,20,od2,00:26:53,35,350
53,16.22,53,od2,00:27:03,36,360
58,16.23,58,od2,00:27:13,37,370
50,16.23,50,od2,00:27:23,38,380
49,16.23,49,od2,00:27:33,39,390
38,15.82,38,od2,00:27:43,40,400
17,15.69,17,od2,00:27:53,41,410
8,15.69,8,od2,00:28:03,42,420
33,15.68,33,od2,00:28:13,43,430
19,15.68,19,od2,00:28:23,44,440
32,15.68,32,od2,00:28:33,45,450
11,15.68,11,od2,00:28:43,46,460
40,15.68,40,od2,00:28:53,47,470
25,15.68,25,od2,00:29:03,48,480
55,15.67,55,od2,00:29:13,49,490
14,15.67,14,od2,00:29:23,50,500
15,15.67,15,od2,00:29:33,51,510
42,15.67,42,od2,00:29:43,52,520
0,15.67,0,od2,00:29:53,53,530
18,15.67,18,od2,00:30:03,54,540
9,15.65,9,od2,00:30:13,55,550
41,15.65,41,od2,00:30:23,56,560
6,15.65,6,od2,00:30:33,57,570
46,15.65,46,od2,00:30:43,58,580
48,15.65,48,od2,00:30:53,59,590
22,15.67,22,od2,00:31:03,60,600
