,Hour,Routing,Traffic
0,0,MAR,9
1,1,MAR,2
2,2,MAR,5
3,3,MAR,5
4,4,MAR,2
5,5,MAR,2
6,6,MAR,1
7,7,MAR,15
8,8,MAR,20
9,9,MAR,29
10,10,MAR,22
11,11,MAR,43
12,12,MAR,20
13,13,MAR,29
14,14,MAR,22
15,15,MAR,18
16,16,MAR,30
17,17,MAR,22
18,18,MAR,20
19,19,MAR,15
20,20,MAR,17
21,21,MAR,19
22,22,MAR,16
23,23,MAR,12
24,0,MAR-R,14
25,1,MAR-R,8
26,2,MAR-R,11
27,3,MAR-R,9
28,4,MAR-R,4
29,5,MAR-R,6
30,6,MAR-R,4
31,7,MAR-R,27
32,8,MAR-R,47
33,9,MAR-R,45
34,10,MAR-R,48
35,11,MAR-R,65
36,12,MAR-R,39
37,13,MAR-R,61
38,14,MAR-R,49
39,15,MAR-R,46
40,16,MAR-R,63
41,17,MAR-R,39
42,18,MAR-R,40
43,19,MAR-R,29
44,20,MAR-R,40
45,21,MAR-R,35
46,22,MAR-R,27
47,23,MAR-R,26
48,0,DUAR,68
49,1,DUAR,40
50,2,DUAR,34
51,3,DUAR,29
52,4,DUAR,20
53,5,DUAR,24
54,6,DUAR,34
55,7,DUAR,113
56,8,DUAR,183
57,9,DUAR,150
58,10,DUAR,186
59,11,DUAR,201
60,12,DUAR,192
61,13,DUAR,187
62,14,DUAR,180
63,15,DUAR,192
64,16,DUAR,185
65,17,DUAR,190
66,18,DUAR,179
67,19,DUAR,162
68,20,DUAR,151
69,21,DUAR,110
70,22,DUAR,95
71,23,DUAR,85
72,0,DUAR-R,51
73,1,DUAR-R,32
74,2,DUAR-R,22
75,3,DUAR-R,20
76,4,DUAR-R,13
77,5,DUAR-R,19
78,6,DUAR-R,25
79,7,DUAR-R,66
80,8,DUAR-R,92
81,9,DUAR-R,91
82,10,DUAR-R,101
83,11,DUAR-R,94
84,12,DUAR-R,100
85,13,DUAR-R,58
86,14,DUAR-R,35
87,15,DUAR-R,55
88,16,DUAR-R,47
89,17,DUAR-R,79
90,18,DUAR-R,78
